Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
Nitecore,48,14.95,10 @ 13.95  50 @ 12.95  100 @ 11.95 ,1037326.39,3,3.6V,Typ. capacity - mAh,3200,3150,Li-ion,18650,Button top,"€1,037.33"
Keeppower,48,11.45,No Bulk price,1060185.19,0,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Button top,"€1,060.19"
EagleTac,48,14.95,10 @ 13.95 ,1107142.86,1,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Button top,"€1,107.14"
Nitecore,48,10.95,10 @ 10.45 ,1116452.99,1,3.6V,Typ. capacity - mAh,2600,2550,Li-ion,18650,"Button top, USB","€1,116.45"
Nitecore,46,15.95,10 @ 14.95  60 @ 13.95 ,1139705.88,2,3.6V,Typ. capacity - mAh,3400,3350,Li-ion,18650,Button top,"€1,139.71"
Nitecore,46,15.95,10 @ 14.95  100 @ 12.95 ,1160394.27,2,3.6V,Typ. capacity - mAh,3100,3050,Li-ion,18650,Button top,"€1,160.39"
EagleTac,37,6.75,No Bulk price,1171875,0,3.6V,Typ. capacity - mAh,1600,1550,Li-ion,17650,Button top,"€1,171.88"
Keeppower,25,5.75,10 @ 5.45  100 @ 5.25 ,1215277.78,2,3.6V,Typ. capacity - mAh,1200,1100,Li-ion,18350,Flat top,"€1,215.28"
Keeppower,150,21.95,No Bulk price,1244331.07,0,3.6V,Typ. capacity - mAh,4900,4850,Li-ion,21700,"Button top, USB","€1,244.33"
Nitecore,83,18.95,No Bulk price,1253306.88,0,3.6V,Typ. capacity - mAh,4200,4150,Li-ion,21700,"Button top, Low temperature, USB","€1,253.31"
Nitecore,46,18.95,10 @ 17.95  100 @ 15.95 ,1265873.02,2,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Button top,"€1,265.87"
EagleTac,26,7.45,8 @ 7.25  80 @ 6.95  160 @ 6.25 ,1335470.09,3,3.6V,Typ. capacity - mAh,1300,1250,Li-ion,18350,Button top,"€1,335.47"
Enercig,23,3.45,No Bulk price,1369047.62,0,3.6V,Typ. capacity - mAh,700,650,Li-ion,18350,Flat top,"€1,369.05"
Keeppower,19,4.25,10 @ 3.95  100 @ 3.75  200 @ 3.45 ,1369047.62,3,3.6V,Typ. capacity - mAh,700,600,Li-ion,14430,Button top,"€1,369.05"
Keeppower,60,16.95,10 @ 15.95 ,1384548.61,1,3.6V,Typ. capacity - mAh,3200,3150,Li-ion,18650,"Button top, USB","€1,384.55"
Keeppower,18,5.75,10 @ 5.45  20 @ 5.25 ,1458333.33,2,3.6V,Typ. capacity - mAh,1000,950,Li-ion,14500,Button top,"€1,458.33"
Keeppower,21,3.95,No Bulk price,1462962.96,0,3.6V,Typ. capacity - mAh,750,700,Li-ion,18350,Flat top,"€1,462.96"
Nitecore,50,20.95,10 @ 19.95  100 @ 18.45 ,1464285.71,2,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Button top,"€1,464.29"
Nitecore,50,21.95,10 @ 19.95  20 @ 19.45  60 @ 18.45 ,1464285.71,3,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,"Button top, USB","€1,464.29"
Keeppower,26,4.95,10 @ 4.75 ,1466049.38,1,3.6V,Typ. capacity - mAh,900,850,Li-ion,18350,Button top,"€1,466.05"
Keeppower,26,6.75,10 @ 6.45 ,1493055.56,1,3.6V,Typ. capacity - mAh,1200,1100,Li-ion,18350,Button top,"€1,493.06"
Nitecore,25,6.95,10 @ 6.25  100 @ 5.75 ,1879084.97,2,3.6V,Typ. capacity - mAh,850,800,Li-ion,14500,Button top,"€1,879.08"
Olight,47,23.95,No Bulk price,1900793.65,0,3.6V,Typ. capacity - mAh,3500,3450,Li-ion,18650,Flat top,"€1,900.79"
Xtar,19,5.25,10 @ 4.95  20 @ 4.75  100 @ 4.45 ,1901709.4,3,3.6V,Typ. capacity - mAh,650,600,Li-ion,16340 / 123A,Button top,"€1,901.71"
Xcell,20,5.95,No Bulk price,2203703.7,0,3.6V,Typ. capacity - mAh,750,700,Li-ion,14500,Button top,"€2,203.70"
Keeppower,80,11.45,10 @ 10.95 ,3578431.37,1,3.6V,Typ. capacity - mAh,850,800,Li-ion,16340 / 123A,"Button top, USB","€3,578.43"
Panasonic,1,2.49,10 @ 2.25  100 @ 1.95 ,38235294.12,2,3V,Typ. capacity - mAh,17,Not found,Li-ion,1220,notFound,"€38,235.29"
