Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
BYD,3450,71.95,4 @ 68.25  8 @ 67.95  16 @ 66.95  32 @ 65.95 ,164875,4,3.2V,Capacity - Ah,125,Not found,LIFEPO4,no Size,notFound,€164.88
CBAK,300,8.45,10 @ 7.95 ,165625,1,3.2V,Capacity - Ah,15,Not found,LIFEPO4,no Size,notFound,€165.63
Tenpower,47,2.35,10 @ 2.15  100 @ 2.05  400 @ 1.95  600 @ 1.88 ,168458.78,4,3.6V,Typ. capacity - mAh,3100,3050,Li-ion,18650,Flat top,€168.46
Samsung,75,3.75,10 @ 3.40  50 @ 3.20  130 @ 3.05  390 @ 2.95 ,168957.62,4,3.6V,Typ. capacity - mAh,4850,4800,Li-ion,21700,Flat top,€168.96
Real cell,85,2.15,10 @ 2.05  200 @ 1.95  600 @ 1.85 ,170036.76,3,3.2V,Typ. capacity - mAh,3400,3350,LIFEPO4,26650,Flat top,€170.04
Samsung,68,2.25,30 @ 2.00  100 @ 1.93  400 @ 1.85 ,171296.3,3,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,21700,"Reclaimed, Flat top",€171.30
DMEGC,45,2.15,10 @ 1.94  100 @ 1.89  200 @ 1.84  600 @ 1.79 ,171455.94,4,3.6V,Typ. capacity - mAh,2900,2750,Li-ion,18650,Flat top,€171.46
**,48,2.35,10 @ 2.34  100 @ 2.19  200 @ 2.14  600 @ 1.99 ,172743.06,4,3.6V,Typ. capacity - mAh,3200,3100,Li-ion,18650,Flat top,€172.74
Tenpower,68,3.99,10 @ 3.85  130 @ 3.45  260 @ 3.25  390 @ 3.15 ,175000,4,3.6V,Typ. capacity - mAh,5000,4950,Li-ion,21700,Flat top,€175.00
BAK,48,2.65,20 @ 2.45  40 @ 2.22  100 @ 2.02  200 @ 1.92  600 @ 1.87 ,179118.77,5,3.6V,Typ. capacity - mAh,2900,2800,Li-ion,18650,Flat top,€179.12
