Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/eve-lf50k-prismatic-50ah-50a-lifepo4.html,EVE,LF50K,TBA,39.99,50000.0,160.0,50.00,16,1395,50.00,639.84,2.56,LiFePO4,3.2,In stock,249.94,Buy 16 times for,37.1,114.7,593.6,231.88
https://eu.nkon.nl/eve-lf22k-prismatic-22ah-lifepo4-b-grade.html,EVE,LF22K,TBA,21.95,22000.0,70.4,66.00,16,628,66.00,351.2,1.13,LiFePO4,3.2,In stock,311.79,Buy 8 times for,20.75,112.1,332.0,294.74
https://eu.nkon.nl/jgne-26650-3000mah-30a-lifepo4.html,JGNE,HTPFR26650,TBA,3.95,2900.0,9.28,30.00,16,85,"2,900.00",63.2,0.15,LiFePO4,3.2,In stock,425.65,Buy 600 times for,3.15,109.18,50.4,339.44
https://eu.nkon.nl/jgne-18650-1100mah-33a-lifepo4.html,JGNE,18650,18650,2.25,1050.0,3.36,33.00,16,40,33.00,36.0,0.05,LiFePO4,3.2,In stock,669.64,Buy 600 times for,1.95,84.0,31.2,580.36
https://eu.nkon.nl/a123-systems-anr26650m1b-a-grade-3-3v-a-grade.html,Lithium Werks (A123 systems),ANR26650,TBA,7.95,2500.0,8.0,50.00,16,76,"2,500.00",127.2,0.13,LiFePO4,3.2,In stock,993.75,Buy 200 times for,6.65,105.26,106.4,831.25
https://eu.nkon.nl/review/product/list/id/5251/category/182/,TBA,,TBA,1.89,1e-09,0.0,Not set,15,98760,0,28.35,0.0,_Unknown,3.5995551234,In stock,525064885855888.56,Buy 600 times for,1.65,0.0,24.75,458389979715458.25
https://eu.nkon.nl/review/product/list/id/2815/category/182/,TBA,,TBA,3.95,1e-09,0.0,Not set,15,98760,0,59.25,0.0,_Unknown,3.5995551234,In stock,1097357830227915.4,Buy 600 times for,3.15,0.0,47.25,875108143093147.6
https://eu.nkon.nl/review/product/list/id/5398/category/182/,TBA,,TBA,6.65,1e-09,0.0,Not set,15,98760,0,99.75,0.0,_Unknown,3.5995551234,In stock,1847450524307756.2,Buy 16 times for,6.65,0.0,99.75,1847450524307756.2
https://eu.nkon.nl/review/product/list/id/1793/category/182/,TBA,,TBA,7.95,1e-09,0.0,Not set,15,98760,0,119.25,0.0,_Unknown,3.5995551234,In stock,2208606265901753.5,Buy 200 times for,6.65,0.0,99.75,1847450524307756.2
https://eu.nkon.nl/review/product/list/id/5377/category/182/,TBA,,TBA,11.95,1e-09,0.0,Not set,15,98760,0,179.25,0.0,_Unknown,3.5995551234,In stock,3319854701575591.5,Buy 20 times for,11.95,0.0,179.25,3319854701575591.5
https://eu.nkon.nl/review/product/list/id/5016/category/182/,TBA,,TBA,24.99,1e-09,0.0,Not set,15,98760,0,374.85,0.0,_Unknown,3.5995551234,In stock,6942524601872304.0,Buy 32 times for,22.9,0.0,343.5,6361897294232724.0
https://eu.nkon.nl/review/product/list/id/4746/category/182/,TBA,,TBA,36.95,1e-09,0.0,Not set,15,98760,0,554.25,0.0,_Unknown,3.5995551234,Expected shipping date: 20 maart 2024 (in 22 days),1.0265157424537082e+16,Buy 32 times for,34.25,0.0,513.75,9515064730457240.0
https://eu.nkon.nl/review/product/list/id/5044/category/182/,TBA,,TBA,38.95,1e-09,0.0,Not set,15,98760,0,584.25,0.0,_Unknown,3.5995551234,In stock,1.0820781642374e+16,Buy 16 times for,35.9,0.0,538.5,9973454710172698.0
https://eu.nkon.nl/review/product/list/id/4747/category/182/,TBA,,TBA,39.99,1e-09,0.0,Not set,15,98760,0,599.85,0.0,_Unknown,3.5995551234,In stock,1.1109706235649198e+16,Buy 16 times for,37.1,0.0,556.5,1.030682924087485e+16
https://eu.nkon.nl/review/product/list/id/5158/category/182/,TBA,,TBA,49.95,1e-09,0.0,Not set,15,98760,0,749.25,0.0,_Unknown,3.5995551234,In stock,1.3876714840477056e+16,Buy 32 times for,48.45,0.0,726.75,1.3459996677099366e+16
https://eu.nkon.nl/review/product/list/id/4994/category/182/,TBA,,TBA,51.45,1e-09,0.0,Not set,15,98760,0,771.75,0.0,_Unknown,3.5995551234,In stock,1.4293433003854746e+16,Buy 64 times for,50.25,0.0,753.75,1.3960058473152594e+16
https://eu.nkon.nl/review/product/list/id/5236/category/182/,TBA,,TBA,69.95,1e-09,0.0,Not set,15,98760,0,1049.25,0.0,_Unknown,3.5995551234,In stock,1.943295701884625e+16,Buy 16 times for,65.95,0.0,989.25,1.832170858317241e+16
https://eu.nkon.nl/review/product/list/id/5320/category/182/,TBA,,TBA,77.95,1e-09,0.0,Not set,15,98760,0,1169.25,0.0,_Unknown,3.5995551234,In stock,2.1655453890193924e+16,Buy 16 times for,72.9,0.0,1093.5,2.0252502740155704e+16
https://eu.nkon.nl/review/product/list/id/5045/category/182/,TBA,,TBA,72.95,1e-09,0.0,Not set,15,98760,0,1094.25,0.0,_Unknown,3.5995551234,In stock,2.0266393345601624e+16,Buy 8 times for,72.95,0.0,1094.25,2.0266393345601624e+16
https://eu.nkon.nl/review/product/list/id/4628/category/182/,TBA,,TBA,85.95,1e-09,0.0,Not set,15,98760,0,1289.25,0.0,_Unknown,3.5995551234,Expected shipping date: 25 april 2024 (in 58 days),2.38779507615416e+16,Buy 32 times for,80.45,0.0,1206.75,2.234998416249007e+16
https://eu.nkon.nl/review/product/list/id/5237/category/182/,TBA,,TBA,89.95,1e-09,0.0,Not set,15,98760,0,1349.25,0.0,_Unknown,3.5995551234,Expected shipping date: 7 april 2024 (in 40 days),2.498919919721544e+16,Buy 32 times for,83.95,0.0,1259.25,2.332232654370468e+16
https://eu.nkon.nl/review/product/list/id/4874/category/182/,TBA,,TBA,94.45,1e-09,0.0,Not set,15,98760,0,1416.75,0.0,_Unknown,3.5995551234,In stock,2.6239353687348508e+16,Buy 32 times for,88.15,0.0,1322.25,2.4489137401162212e+16
