Product url,Brand,Model,Type,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/jgne-18650-1600mah-4-8a-lifepo4.html,JGNE,MH48108,TBA,1.49,1500.0,4.80,16,46,"1,500.00",23.84,0.08,LiFePO4,3.2,Expected shipping date: 29 december 2023 (in 4 days),310.42,Buy 600 times for,1.14,104.35,18.24,237.5
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr-18650-30q-3000mah-15a-2017.html,Samsung,INR18650-30Q,18650,2.85,2950.0,15.00,15,46,"2,950.00",42.75,0.15,Li-ion,3.6,In stock,268.36,Buy 600 times for,2.55,218.9,38.25,240.11
https://eu.nkon.nl/bak-n18650cnp-2500mah-20a.html,BAK,N18650CNP,18650,2.89,2400.0,20.00,15,47,"2,400.00",43.35,0.12,Li-ion,3.6,In stock,334.49,Buy 600 times for,2.13,174.3,31.95,246.53
https://eu.nkon.nl/samsung-inr18650-30q-3000mah-15a-reclaimed.html,Samsung,INR18650-30Q,18650,2.99,2950.0,15.00,15,46,"2,950.00",44.85,0.15,Li-ion,3.6,In stock,281.54,Buy 100 times for,2.65,218.9,39.75,249.53
https://eu.nkon.nl/sinowatt-sw18650-25sp-2550mah-20a.html,Sinowatt,SW18650-25SP,18650,2.75,2500.0,20.00,15,49,"2,500.00",41.25,0.13,Li-ion,3.6,Expected shipping date: 22 december 2023 (in -3 days),305.56,Buy 200 times for,2.25,174.15,33.75,250.0
https://eu.nkon.nl/sinowatt-sw18650-30sp-2900mah-15a.html,Sinowatt,SW18650-30SP,18650,3.25,2900.0,15.00,15,49,"2,900.00",48.75,0.15,Li-ion,3.6,Expected shipping date: 16 december 2023 (in -9 days),311.3,Buy 600 times for,2.65,202.01,39.75,253.83
https://eu.nkon.nl/panasonic-ncr18650bd-3200mah-10a.html,Panasonic,NCR18650BD,18650,3.55,3030.0,10.00,15,49,"3,030.00",53.25,0.16,Li-ion,3.6,In stock,325.45,Buy 540 times for,2.85,211.07,42.75,261.28
https://eu.nkon.nl/panasonic-ncr18650pf-3-7v-2900mah.html,Panasonic,NCR18650PF,18650,3.25,2850.0,10.00,15,46,"2,850.00",48.75,0.15,Li-ion,3.6,In stock,316.76,Buy 540 times for,2.69,211.48,40.35,262.18
https://eu.nkon.nl/inr18650m36-3600mah-10a.html,**,**DBM361865,TBA,3.89,3400.0,5.00,15,49,"3,400.00",58.35,0.17,Li-ion,3.6,In stock,317.81,Buy 600 times for,3.25,236.84,48.75,265.52
https://eu.nkon.nl/sanyo-ncr18650ga-3350mah-10a-groen.html,Sanyo,NCR18650GA,18650,3.99,3300.0,10.00,15,47,"3,300.00",59.85,0.17,Li-ion,3.6,In stock,335.86,Buy 540 times for,3.2,239.66,48.0,269.36
https://eu.nkon.nl/samsung-18650-inr18650-25r.html,Samsung,INR18650-25R,18650,2.99,2450.0,20.00,15,44,"2,450.00",44.85,0.13,Li-ion,3.6,In stock,339.0,Buy 200 times for,2.44,190.06,36.6,276.64
https://eu.nkon.nl/panasonic-ncr18650b-made-in-japan-2017.html,Panasonic,NCR18650B,18650,3.75,3250.0,6.70,15,46,"3,250.00",56.25,0.17,Li-ion,3.6,In stock,320.51,Buy 130 times for,3.25,241.16,48.75,277.78
https://eu.nkon.nl/samsung-inr-18650-30q-3000mah.html,Samsung,INR18650-30Q,18650,3.79,2950.0,15.00,15,46,"2,950.00",56.85,0.15,Li-ion,3.6,In stock,356.87,Buy 200 times for,3.1,218.9,46.5,291.9
https://eu.nkon.nl/sony-murata-us18650vtc5a-2600mah-35a-clear-wrap-reclaimed.html,Sony,18650,18650,2.99,2600.0,35.00,15,48,35.00,44.85,0.13,Li-ion,3.6,In stock,319.44,Buy 600 times for,2.75,184.89,41.25,293.8
https://eu.nkon.nl/eve-lf22k-prismatic-22ah-lifepo4-b-grade.html,EVE,LF22K,TBA,21.95,22000.0,66.00,16,628,66.00,351.2,1.13,LiFePO4,3.2,In stock,311.79,Buy 8 times for,20.75,112.1,332.0,294.74
https://eu.nkon.nl/sanyo-18650ga-4897.html,Sanyo,NCR18650GA,18650,4.25,3350.0,10.00,15,48,"3,350.00",63.75,0.17,Li-ion,3.6,In stock,352.4,Buy 540 times for,3.78,238.22,56.7,313.43
https://eu.nkon.nl/rechargeable/li-ion/lg-inr21700-m58t-5570mah-12-5a-no-wrap.html,**,INR21700-M58T,21700,6.79,5520.0,12.50,15,73,"5,520.00",101.85,0.28,Li-ion,3.6,In stock,341.69,Buy 50 times for,6.45,258.1,96.75,324.58
https://eu.nkon.nl/samsung-inr18650-20r.html,Samsung,INR18650-20R,18650,2.75,1950.0,22.00,15,43,22.00,41.25,0.1,Li-ion,3.6,In stock,391.74,Buy 600 times for,2.3,154.79,34.5,327.64
https://eu.nkon.nl/rechargeable/li-ion/lg-inr21700-m58t-5570mah-12-5a-no-wrap-roest.html,**,INR21700-M58T,21700,6.55,5520.0,12.50,15,73,"5,520.00",98.25,0.28,Li-ion,3.6,In stock,329.61,No offers,6.55,258.1,98.25,329.61
https://eu.nkon.nl/rechargeable/li-ion/inr18650-hj2-3000mah-20a.html,**,**ABHG21865,TBA,4.45,2950.0,20.00,15,46,"2,950.00",66.75,0.15,Li-ion,3.6,In stock,419.02,Buy 600 times for,3.6,218.9,54.0,338.98
https://eu.nkon.nl/jgne-26650-3000mah-30a-lifepo4.html,JGNE,HTPFR26650,TBA,3.95,2900.0,30.00,16,85,"2,900.00",63.2,0.15,LiFePO4,3.2,In stock,425.65,Buy 600 times for,3.15,109.18,50.4,339.44
https://eu.nkon.nl/sony-us18650vtc4-flat-top.html,Sony,US18650VTC4,18650,2.99,2000.0,30.00,15,46,"2,000.00",44.85,0.1,Li-ion,3.6,In stock,415.28,Buy 600 times for,2.45,148.41,36.75,340.28
https://eu.nkon.nl/sony-ncr18650bf.html,Sanyo,NCR18650BF,18650,4.95,3250.0,4.90,15,46,"3,250.00",74.25,0.17,Li-ion,3.6,In stock,423.08,Buy 540 times for,4.0,241.16,60.0,341.88
https://eu.nkon.nl/panasonic-ncr18650pf-3-7v-2900mah-jp.html,Panasonic,NCR18650PF,18650,3.55,2850.0,10.00,15,46,"2,850.00",53.25,0.15,Li-ion,3.6,In stock,346.0,No offers,3.55,211.48,53.25,346.0
https://eu.nkon.nl/molicel-inr18650-p28a-2800mah-35a.html,Molicel,INR-18650-P28A,18650,4.49,2800.0,35.00,15,46,"2,800.00",67.35,0.14,Li-ion,3.6,In stock,445.44,Buy 600 times for,3.65,207.77,54.75,362.1
https://eu.nkon.nl/sony-us18650vtc5a-flat-top.html,Sony,US18650VTC5A,18650,4.25,2500.0,35.00,15,48,"2,500.00",63.75,0.13,Li-ion,3.6,In stock,472.22,Buy 600 times for,3.65,177.78,54.75,405.56
https://eu.nkon.nl/panasonic-ncr18650b-made-in-japan.html,Panasonic,NCR18650B,18650,5.25,3250.0,6.70,15,46,"3,250.00",78.75,0.17,Li-ion,3.6,In stock,448.72,Buy 540 times for,4.79,241.16,71.85,409.4
https://eu.nkon.nl/rechargeable/li-ion/sony-murata-us18650-vtc6.html,Sony / Murata,US18650VTC6,18650,5.45,3000.0,30.00,15,48,"3,000.00",81.75,0.15,Li-ion,3.6,In stock,504.63,Buy 200 times for,4.45,213.33,66.75,412.04
https://eu.nkon.nl/samsung-inr18650-29e-2900mah-e6-5343.html,Samsung,INR18650-29E,18650,4.39,2750.0,8.25,15,45,"2,750.00",65.85,0.14,Li-ion,3.6,In stock,443.43,Buy 200 times for,4.14,208.59,62.1,418.18
https://eu.nkon.nl/molicel-p26a-imr18650-2600mah-5a.html,Molicel,INR-18650-P26A,18650,4.6,2500.0,35.00,15,45,"2,500.00",69.0,0.13,Li-ion,3.6,Expected shipping date: 16 december 2023 (in -9 days),511.11,Buy 600 times for,3.85,189.63,57.75,427.78
https://eu.nkon.nl/sanyo-18650ga-button-top.html,Sanyo,NCR18650GA,18650,5.95,3350.0,10.00,15,50,"3,350.00",89.25,0.17,Li-ion,3.6,In stock,493.37,No offers,5.95,228.69,89.25,493.37
https://eu.nkon.nl/samsung-inr18650-25s-2500mah-25a.html,Samsung,INR18650-25S,18650,4.4,2450.0,25.00,15,45,"2,450.00",66.0,0.13,Li-ion,3.6,In stock,498.87,No offers,4.4,185.84,66.0,498.87
https://eu.nkon.nl/inr18650-mj1-buttontop.html,**,INR18650-MJ1,18650,6.45,3400.0,10.00,15,49,"3,400.00",96.75,0.17,Li-ion,3.6,In stock,526.96,No offers,6.45,236.84,96.75,526.96
https://eu.nkon.nl/jgne-18650-1100mah-33a-lifepo4.html,JGNE,18650,18650,2.25,1050.0,33.00,16,40,33.00,36.0,0.05,LiFePO4,3.2,In stock,669.64,Buy 600 times for,1.95,84.0,31.2,580.36
https://eu.nkon.nl/sony-us18650vtc4-button-top.html,Sony,US18650VTC4,18650,4.75,2000.0,30.00,15,47,"2,000.00",71.25,0.1,Li-ion,3.6,In stock,659.72,Buy 50 times for,4.25,145.25,63.75,590.28
https://eu.nkon.nl/sony-konion-us18650vtc6-3120mah-30a-met-button-top.html,Sony,US18650VTC6,18650,6.95,3000.0,30.00,15,48,"3,000.00",104.25,0.15,Li-ion,3.6,In stock,643.52,No offers,6.95,213.33,104.25,643.52
https://eu.nkon.nl/samsung-icr18650-22p.html,Samsung,ICR18650-22P,18650,4.75,2050.0,10.00,15,44,"2,050.00",71.25,0.1,Li-ion,3.6,In stock,643.63,No offers,4.75,159.03,71.25,643.63
https://eu.nkon.nl/samsung-inr-18650-30q-3000mah-button-top.html,Samsung,INR18650-30Q,18650,6.95,2950.0,15.00,15,47,"2,950.00",104.25,0.15,Li-ion,3.6,In stock,654.43,No offers,6.95,214.24,104.25,654.43
https://eu.nkon.nl/hb2-1500mah-30a.html,**,**DAHB21865,TBA,3.65,1400.0,30.00,15,44,"1,400.00",54.75,0.07,Li-ion,3.6,In stock,724.21,Buy 100 times for,3.3,108.61,49.5,654.76
https://eu.nkon.nl/xtar-18650-2600mah-protected.html,Xtar,18650,18650,6.95,2550.0,5.20,15,47,5.20,104.25,0.13,Li-ion,3.6,In stock,757.08,Buy 20 times for,6.45,185.19,96.75,702.61
https://eu.nkon.nl/keeppower-18650-3500-li-ion.html,Keeppower,P1835J,TBA,10.45,3450.0,10.00,15,50,"3,450.00",156.75,0.18,Li-ion,3.6,In stock,841.38,Buy 100 times for,8.75,235.52,131.25,704.51
https://eu.nkon.nl/keeppower-18650-2900mah.html,Keeppower,P1829J,TBA,9.45,2850.0,8.00,15,55,"2,850.00",141.75,0.15,Li-ion,3.6,In stock,921.05,Buy 100 times for,7.75,176.87,116.25,755.36
https://eu.nkon.nl/keeppower-18650-3500-li-ion-flat-top.html,Keeppower,P1835J,TBA,11.45,3450.0,10.00,15,50,"3,450.00",171.75,0.18,Li-ion,3.6,In stock,921.9,Buy 90 times for,9.45,235.52,141.75,760.87
https://eu.nkon.nl/nitecore-18650-nl1823-2300mah-2a.html,Nitecore,NL1823,TBA,7.75,2250.0,2.00,15,48,"2,250.00",116.25,0.12,Li-ion,3.6,In stock,956.79,Buy 200 times for,6.25,160.0,93.75,771.6
https://eu.nkon.nl/samsung-18650-inr18650-25r-button-top.html,Samsung,INR18650-25R,18650,6.95,2450.0,20.00,15,48,"2,450.00",104.25,0.13,Li-ion,3.6,In stock,787.98,No offers,6.95,174.22,104.25,787.98
https://eu.nkon.nl/keeppower-18650-2600-li-ion.html,Keeppower,P1826K,TBA,7.25,2550.0,5.20,15,53,"2,550.00",108.75,0.13,Li-ion,3.6,In stock,789.76,No offers,7.25,164.23,108.75,789.76
https://eu.nkon.nl/everactive-micro-usb-18650-3200mah-protected-7a.html,Everactive,3200 series,TBA,8.95,3050.0,7.00,15,92,"3,050.00",134.25,0.16,Li-ion,3.6,In stock,815.12,No offers,8.95,113.16,134.25,815.12
https://eu.nkon.nl/nitecore-18650-nl1834r-usb-3400mah-30.html,Nitecore,NL1834R,TBA,9.95,3350.0,2.00,15,48,"3,350.00",149.25,0.17,Li-ion,3.6,In stock,825.04,No offers,9.95,238.22,149.25,825.04
https://eu.nkon.nl/a123-systems-anr26650m1b-a-grade-3-3v-a-grade.html,Lithium Werks (A123 systems),ANR26650,TBA,7.95,2500.0,50.00,16,76,"2,500.00",127.2,0.13,LiFePO4,3.2,In stock,993.75,Buy 200 times for,6.65,105.26,106.4,831.25
https://eu.nkon.nl/keeppower-18650-3400-li-ion.html,Keeppower,P1834J,TBA,10.95,3350.0,8.00,15,48,"3,350.00",164.25,0.17,Li-ion,3.6,In stock,907.96,No offers,10.95,238.22,164.25,907.96
https://eu.nkon.nl/nitecore-18650-nl1826r-usb-2600mah-30a.html,Nitecore,NL1826R,TBA,8.95,2550.0,5.00,15,48,"2,550.00",134.25,0.13,Li-ion,3.6,In stock,974.95,No offers,8.95,181.33,134.25,974.95
