Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Calb,L173F125A,125000.0,125.00,839.25,6.0,_Li-ion,€55.95,3.2,Expected shipping date: 10 november 2023 (in 28 days),139.875,Buy 32 times for,€54.45,136.125
Seiko,MS614,6.8,6.80,36.0,0.000326399999999,_Unknown,€2.25,3,Out of stock,110294.11764705883,,€2.25,110294.11764705883
Lithium Werks (A123 systems),ANR26650,2500.0,"2,500.00",134.25,0.12,_Unknown,€8.95,3.2,In stock,1118.75,Buy 200 times for,€7.25,906.2500000000001
Calb,L148F88A,88000.0,88.00,689.25,4.224,_Li-ion,€45.95,3.2,Out of stock,163.1747159090909,,€42.90,152.34375
EVE,LF50K,50000.0,50.00,509.25000000000006,2.4,_Li-ion,€33.95,3.2,Out of stock,212.18750000000003,,€31.10,194.375
REPT,280P,280000.0,280.00,1799.25,13.44,_Li-ion,€119.95,3.2,Out of stock,133.87276785714286,Buy 32 times for,€112.85,125.94866071428571
Catl,CB310,280000.0,140.00,1799.25,13.44,_Li-ion,€119.95,3.2,Out of stock,133.87276785714286,Buy 32 times for,€108.95,121.59598214285714
Calb,L300F187,187000.0,187.00,1304.25,8.975999999999999,_Li-ion,€86.95,3.2,In stock,145.30414438502672,,€86.95,145.30414438502672
EVE,LIFEPO4,280000.0,200.00,1721.3,13.44,_Li-ion,€122.95,3.599555,In stock,121.98928558034058,Buy 64 times for,€115.65,114.74632677809183
Catl,LF302,302000.0,302.00,2174.25,14.496,_Li-ion,€144.95,3.2,Out of stock,149.98965231788077,,€138.05,142.84975165562912
EVE,LF105,105000.0,105.00,599.25,5.04,_Li-ion,€39.95,3.2,Expected shipping date: 30 november 2023 (in 48 days),118.89880952380952,,€38.75,115.32738095238095
JGNE,JGCFR26650-4000mAh-3.2V,3950.0,"3,950.00",47.25,0.18960000000000002,_Unknown,€3.15,3.2,In stock,249.20886075949363,Buy 400 times for,€2.65,209.65189873417717
Catl,LF173,173000.0,173.00,1154.25,8.304,_Li-ion,€76.95,3.2,Out of stock,138.9992774566474,,€72.95,131.77384393063585
JGNE,HTCFR26650,3550.0,"3,550.00",56.85,0.17039999999999902,_Unknown,€3.79,3.2,In stock,333.62676056338034,Buy 400 times for,€2.80,246.47887323943667
JGNE,26650,3750.0,11.40,44.85,0.18,_Li-ion,€2.99,3.2,In stock,249.16666666666666,Buy 600 times for,€2.55,212.5
JGNE,HTPFR26650,2900.0,"2,900.00",59.25,0.13920000000000002,_Unknown,€3.95,3.2,In stock,425.64655172413796,Buy 600 times for,€3.15,339.43965517241384
Real cell,IFR26650PE,3350.0,"3,350.00",33.75,0.1608,_Unknown,€2.25,3.2,In stock,209.88805970149255,,€1.95,181.90298507462688
JGNE,MH48108,1700.0,"1,700.00",25.349999999999998,0.081599999999999,_Unknown,€1.69,3.2,Out of stock,310.6617647058824,Buy 600 times for,€1.26,231.61764705882354
EVE,LF105,105000.0,105.00,824.25,5.04,_Li-ion,€54.95,3.2,Out of stock,163.54166666666666,,€54.95,163.54166666666666
EagleTac,18350,1250.0,10.00,104.3,0.06,_LIFEPO4,€7.45,3.6,Out of stock,1655.5555555555557,,€6.25,1388.888888888889
JGNE,18650,1050.0,33.00,33.75,0.05040000000000001,_Li-ion,€2.25,3.2,Out of stock,669.642857142857,Buy 600 times for,€1.95,580.3571428571428
Panasonic,VL2020-1VCE,1e-09,20.00,47.2,4.8e-14,_Unknown,€2.95,3,In stock,983333333333333.4,,€2.95,983333333333333.4
JGNE,MH48108,1500.0,"1,500.00",22.35,0.07200000000000001,_Unknown,€1.49,3.2,In stock,310.4166666666667,Buy 600 times for,€1.14,237.49999999999997
