Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Sony,US18650VTC4,2000.0,"2,000.00",66.5,0.096,_Unknown,€4.75,3.6,In stock,659.7222222222223,,€4.75,659.7222222222223
Sony,US18650VTC5,2500.0,"2,500.00",83.3,0.12,_Unknown,€5.95,3.6,In stock,661.1111111111111,,€5.95,661.1111111111111
Sony,US18650VTC5A,2500.0,"2,500.00",125.29999999999998,0.12,_Unknown,€8.95,3.6,In stock,994.4444444444443,,€8.95,994.4444444444443
Sony,US18650VTC6,3000.0,"3,000.00",97.3,0.14400000000000002,_Unknown,€6.95,3.6,In stock,643.5185185185185,,€6.95,643.5185185185185
Samsung,INR18650-30Q,2950.0,"2,950.00",97.3,0.1416,_Unknown,€6.95,3.6,In stock,654.4256120527307,,€6.95,654.4256120527307
Keeppower,P1829J,2850.0,"2,850.00",132.29999999999998,0.1368,_Unknown,€9.45,3.6,In stock,921.0526315789473,,€9.45,921.0526315789473
Sanyo,NCR18650GA,3350.0,"3,350.00",83.3,0.1608,_Unknown,€5.95,3.6,Out of stock,493.36650082918743,,€5.95,493.36650082918743
Sanyo,NCR18650BF,3250.0,"3,250.00",53.9,0.156,_Unknown,€3.85,3.6,In stock,329.0598290598291,,€3.48,297.4358974358975
Samsung,ICR18650-22P,2050.0,"2,050.00",66.5,0.098399999999999,_Unknown,€4.75,3.6,Out of stock,643.6314363143632,,€4.75,643.6314363143632
**,INR18650MH1,3100.0,"3,100.00",45.5,0.14880000000000002,_Unknown,€3.25,3.6,In stock,291.21863799283153,Buy 600 times for,€2.55,228.49462365591393
Samsung,INR18650-35E,3350.0,"3,350.00",55.300000000000004,0.1608,_Unknown,€3.95,3.6,In stock,327.52902155887233,Buy 600 times for,€3.15,261.1940298507463
Sanyo,NCR18650GA,3300.0,"3,300.00",60.89999999999999,0.158399999999999,_Unknown,€4.35,3.6,In stock,366.1616161616161,,€3.15,265.1515151515151
Samsung,INR18650-30Q,2950.0,"2,950.00",53.06,0.1416,_Unknown,€3.79,3.6,In stock,356.8738229755179,Buy 200 times for,€3.19,300.37664783427493
Samsung,INR18650-15M,1450.0,"1,450.00",48.300000000000004,0.06960000000000001,_Unknown,€3.45,3.6,Out of stock,660.9195402298851,Buy 600 times for,€2.85,545.9770114942529
**,LGABHG21865,2950.0,"2,950.00",76.3,0.1416,_Unknown,€5.45,3.6,Out of stock,513.1826741996233,Buy 200 times for,€4.59,432.2033898305084
Panasonic,NCR18650PF,2850.0,"2,850.00",45.5,0.1368,_Unknown,€3.25,3.6,In stock,316.76413255360626,Buy 540 times for,€2.79,271.9298245614035
Samsung,INR18650-20R,1950.0,22.00,38.5,0.093599999999999,_Unknown,€2.75,3.6,Expected shipping date: 27 oktober 2023 (in 14 days),391.7378917378917,Buy 600 times for,€2.30,327.63532763532754
Panasonic,NCR18650B,3250.0,"3,250.00",76.3,0.156,_Unknown,€5.45,3.6,In stock,465.8119658119659,,€4.99,426.4957264957266
**,LGDBHE21865,2450.0,"2,450.00",36.26,0.11760000000000001,_Unknown,€2.59,3.6,In stock,293.6507936507936,Buy 600 times for,€2.07,234.69387755102036
**,LGDAHB21865,1400.0,"1,400.00",51.1,0.06719999999999901,_Unknown,€3.65,3.6,In stock,724.2063492063494,,€3.65,724.2063492063494
**,LGDBHE41865,2450.0,"2,450.00",55.300000000000004,0.11760000000000001,_Unknown,€3.95,3.6,Out of stock,447.8458049886621,Buy 600 times for,€3.10,351.4739229024943
Sony,US18650VTC5,2500.0,"2,500.00",51.1,0.12,_Unknown,€3.65,3.6,Expected shipping date: 31 oktober 2023 (in 18 days),405.5555555555556,Buy 300 times for,€3.40,377.77777777777777
Sinowatt,SW18650-34MP,3250.0,"3,250.00",34.86,0.156,_Unknown,€2.49,3.6,Out of stock,212.82051282051287,,€2.19,187.1794871794872
Sony,US18650VTC4,2000.0,"2,000.00",41.86,0.096,_Unknown,€2.99,3.6,Expected shipping date: 31 oktober 2023 (in 18 days),415.27777777777777,Buy 600 times for,€2.45,340.2777777777778
Molicel,INR-18650-M35A,3350.0,"3,350.00",48.300000000000004,0.1608,_Unknown,€3.45,3.6,In stock,286.06965174129357,Buy 600 times for,€2.70,223.88059701492543
**,INR18650M26,2500.0,"2,500.00",17.5,0.12,_Unknown,€1.25,3.6,Out of stock,138.88888888888889,,€1.25,138.88888888888889
Molicel,INR-18650-P28A,2800.0,"2,800.00",104.86,0.13439999999999902,_Unknown,€7.49,3.6,Out of stock,743.0555555555558,,€7.49,743.0555555555558
BAK,N18650CP,3250.0,"3,250.00",45.5,0.156,_Unknown,€3.25,3.6,Out of stock,277.7777777777778,Buy 200 times for,€2.69,229.91452991452994
BAK,N18650CNP,2400.0,"2,400.00",40.46,0.11519999999999901,_Unknown,€2.89,3.6,Out of stock,334.49074074074076,Buy 600 times for,€2.40,277.77777777777777
EVE,INR18650-25P,2500.0,"2,500.00",32.06,0.12,_Unknown,€2.29,3.6,In stock,254.44444444444446,,€1.89,209.99999999999997
Samsung,INR18650-30Q,2950.0,"2,950.00",41.86,0.1416,_Unknown,€2.99,3.6,In stock,281.5442561205273,Buy 100 times for,€2.65,249.52919020715632
BAK,N18650CL-29,2800.0,"2,800.00",37.1,0.13439999999999902,_Unknown,€2.65,3.6,In stock,262.8968253968255,Buy 200 times for,€1.92,190.4761904761905
Xtar,18650,3300.0,10.00,111.3,0.158399999999999,_LIFEPO4,€7.95,3.6,In stock,669.1919191919192,,€7.95,669.1919191919192
EVE,INR18650-33V,3100.0,"3,100.00",38.5,0.14880000000000002,_Unknown,€2.75,3.6,In stock,246.41577060931897,Buy 600 times for,€2.14,191.75627240143368
Tenpower,ICR18650,1950.0,"1,950.00",27.3,0.093599999999999,_Unknown,€1.95,3.6,Out of stock,277.77777777777777,,€1.95,277.77777777777777
EVE,INR18650-29V,2850.0,"2,850.00",36.26,0.1368,_Unknown,€2.59,3.6,Out of stock,252.43664717348926,Buy 600 times for,€1.91,186.1598440545809
Keeppower,P1835J,3450.0,"3,450.00",160.29999999999998,0.16560000000000002,_Unknown,€11.45,3.6,In stock,921.9001610305958,,€11.45,921.9001610305958
Sony / Murata,US18650VTC5C,2500.0,"2,500.00",49.699999999999996,0.12,_Unknown,€3.55,3.6,Expected shipping date: 31 oktober 2023 (in 18 days),394.4444444444444,Buy 600 times for,€3.15,350.0
Sanyo,NCR18650GA,3350.0,"3,350.00",59.5,0.1608,_Unknown,€4.25,3.6,Out of stock,352.4046434494196,,€3.78,313.4328358208955
Nitecore,IMR18650,3050.0,"3,050.00",234.5,0.146399999999999,_Unknown,€16.75,3.6,In stock,1525.5009107468125,,€16.75,1525.5009107468125
Samsung,ICR18650-26J,2550.0,"2,550.00",39.06,0.12240000000000001,_Unknown,€2.79,3.6,Out of stock,303.921568627451,Buy 200 times for,€2.41,262.52723311546845
Sanyo,UR18650ZM2,2420.0,"2,420.00",30.099999999999998,0.11616000000000001,_Unknown,€2.15,3.6,In stock,246.7860422405877,Buy 540 times for,€1.67,191.68962350780532
Everactive,3200 series,3050.0,"3,050.00",125.29999999999998,0.146399999999999,_Unknown,€8.95,3.6,In stock,815.11839708561,,€8.95,815.11839708561
**,INR18650M29,2750.0,"2,750.00",37.1,0.132,_Unknown,€2.65,3.6,In stock,267.67676767676767,Buy 600 times for,€1.85,186.86868686868686
Molicel,INR-18650-P26A,2600.0,"2,600.00",83.3,0.12480000000000001,_Unknown,€5.95,3.6,Out of stock,635.6837606837607,,€5.95,635.6837606837607
Xtar,18650,3450.0,10.00,195.29999999999998,0.16560000000000002,_LIFEPO4,€13.95,3.6,In stock,1123.1884057971015,,€13.95,1123.1884057971015
Sanyo,NCR18650GA,3350.0,"3,350.00",83.3,0.1608,_Unknown,€5.95,3.6,Out of stock,493.36650082918743,,€4.29,355.7213930348259
Tenpower,INR18650-28HE,2760.0,"2,760.00",38.5,0.13248000000000001,_Unknown,€2.75,3.6,Out of stock,276.7713365539453,Buy 600 times for,€1.82,183.17230273752017
Olight,ORB-186S35,3450.0,"3,450.00",335.3,0.16560000000000002,_Unknown,€23.95,3.6,In stock,1928.3413848631242,,€23.95,1928.3413848631242
Xtar,18650,2550.0,5.20,97.3,0.12240000000000001,_LIFEPO4,€6.95,3.6,In stock,757.0806100217865,,€6.95,757.0806100217865
**,INR18650-MJ1,3400.0,"3,400.00",90.3,0.163199999999999,_Unknown,€6.45,3.6,Out of stock,526.9607843137255,,€6.45,526.9607843137255
Xtar,18650,2180.0,5.00,62.300000000000004,0.10464000000000001,_LIFEPO4,€4.45,3.6,In stock,567.0234454638125,,€4.45,567.0234454638125
Olight,orb-186C32,3150.0,"3,150.00",318.5,0.1512,_Unknown,€22.75,3.6,Out of stock,2006.172839506173,,€22.75,2006.172839506173
Panasonic,NCR18650BD,3030.0,"3,030.00",49.699999999999996,0.14543999999999901,_Unknown,€3.55,3.6,In stock,325.44921158782546,Buy 540 times for,€2.85,261.2761276127613
**,LGGBF1L1865,3250.0,"3,250.00",52.5,0.156,_Unknown,€3.75,3.6,Out of stock,320.5128205128206,Buy 600 times for,€3.33,284.6153846153847
Olight,ORB-186L34,3350.0,"3,350.00",279.3,0.1608,_Unknown,€19.95,3.6,Out of stock,1654.2288557213933,,€19.95,1654.2288557213933
Molicel,INR-18650-P26A,2500.0,"2,500.00",64.39999999999999,0.12,_Unknown,€4.60,3.6,In stock,511.1111111111111,Buy 600 times for,€3.85,427.77777777777777
Molicel,INR-18650-P28A,2800.0,"2,800.00",69.86,0.13439999999999902,_Unknown,€4.99,3.6,Expected shipping date: 28 oktober 2023 (in 15 days),495.03968253968264,Buy 600 times for,€3.95,391.8650793650795
Samsung,INR18650-29E,2750.0,"2,750.00",61.459999999999994,0.132,_Unknown,€4.39,3.6,In stock,443.43434343434336,Buy 200 times for,€4.14,418.18181818181813
Olight,ORB-186P26,2550.0,"2,550.00",195.29999999999998,0.12240000000000001,_Unknown,€13.95,3.6,Out of stock,1519.6078431372548,,€13.95,1519.6078431372548
Samsung,INR18650-32E,3100.0,"3,100.00",53.9,0.14880000000000002,_Unknown,€3.85,3.6,Out of stock,344.9820788530465,Buy 400 times for,€2.90,259.85663082437276
Samsung,INR18650-20R,1950.0,"1,950.00",24.5,0.093599999999999,_Unknown,€1.75,3.6,In stock,249.28774928774925,Buy 600 times for,€1.50,213.67521367521366
Samsung,INR18650-35E,3350.0,"3,350.00",41.300000000000004,0.1608,_Unknown,€2.95,3.6,In stock,244.6102819237148,Buy 400 times for,€2.35,194.85903814262025
