Brand,Model,Capacity - Ah:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Samsung,INR18650-25R,2450.0,"2,450.00",97.3,0.11760000000000001,Li-ion,€6.95,3.6,In stock,787.9818594104307,,£10000,1133786.8480725621
Panasonic,NCR18650B,3250.0,"3,250.00",76.3,0.156,Li-ion,€5.45,3.6,In stock,465.8119658119659,,£10000,854700.8547008549
Sanyo,NCR18650BF,3250.0,"3,250.00",53.9,0.156,Li-ion,€3.85,3.6,In stock,329.0598290598291,,£10000,854700.8547008549
Keeppower,P1829J,2850.0,"2,850.00",132.29999999999998,0.1368,Li-ion,€9.45,3.6,In stock,921.0526315789473,,£10000,974658.8693957115
Samsung,ICR18650-22P,2050.0,"2,050.00",66.5,0.098399999999999,Li-ion,€4.75,3.6,Out of stock,643.6314363143632,,£10000,1355013.5501355014
Panasonic,NCR18650PF,2850.0,"2,850.00",45.5,0.1368,Li-ion,€3.25,3.6,In stock,316.76413255360626,Buy 540 times for,€2.79,271.9298245614035
Sanyo,NCR18650GA,3300.0,"3,300.00",60.89999999999999,0.158399999999999,Li-ion,€4.35,3.6,In stock,366.1616161616161,,£10000,841750.8417508417
**,INR18650MH1,3100.0,"3,100.00",45.5,0.14880000000000002,Li-ion,€3.25,3.6,In stock,291.21863799283153,Buy 600 times for,€2.55,228.49462365591393
Samsung,INR18650-35E,3350.0,"3,350.00",55.300000000000004,0.1608,Li-ion,€3.95,3.6,In stock,327.52902155887233,Buy 600 times for,€3.15,261.1940298507463
Sony,US18650VTC6,3000.0,"3,000.00",97.3,0.14400000000000002,Li-ion,€6.95,3.6,In stock,643.5185185185185,,£10000,925925.925925926
**,LGDBHE21865,2450.0,"2,450.00",36.26,0.11760000000000001,Li-ion,€2.59,3.6,In stock,293.6507936507936,Buy 600 times for,€2.07,234.69387755102036
Samsung,INR18650-15M,1450.0,"1,450.00",48.300000000000004,0.06960000000000001,Li-ion,€3.45,3.6,Out of stock,660.9195402298851,Buy 600 times for,€2.85,545.9770114942529
**,LGDAHB21865,1400.0,"1,400.00",51.1,0.06719999999999901,Li-ion,€3.65,3.6,In stock,724.2063492063494,,£10000,1984126.9841269846
Samsung,INR18650-20R,1950.0,22.00,38.5,0.093599999999999,Li-ion,€2.75,3.6,Expected shipping date: 27 oktober 2023 (in 16 days),391.7378917378917,Buy 600 times for,€2.30,327.63532763532754
Sony,US18650VTC4,2000.0,"2,000.00",41.86,0.096,Li-ion,€2.99,3.6,Expected shipping date: 31 oktober 2023 (in 20 days),415.27777777777777,Buy 600 times for,€2.45,340.2777777777778
**,LGABHG21865,2950.0,"2,950.00",76.3,0.1416,Li-ion,€5.45,3.6,Out of stock,513.1826741996233,Buy 200 times for,€4.59,432.2033898305084
Sony,US18650VTC5,2500.0,"2,500.00",51.1,0.12,Li-ion,€3.65,3.6,Expected shipping date: 31 oktober 2023 (in 20 days),405.5555555555556,Buy 300 times for,€3.40,377.77777777777777
**,LGDBHE41865,2450.0,"2,450.00",55.300000000000004,0.11760000000000001,Li-ion,€3.95,3.6,Out of stock,447.8458049886621,Buy 600 times for,€3.10,351.4739229024943
EVE,INR18650-25P,2500.0,"2,500.00",32.06,0.12,Li-ion,€2.29,3.6,In stock,254.44444444444446,,£10000,1111111.1111111112
Samsung,ICR18650-26J,2550.0,"2,550.00",39.06,0.12240000000000001,Li-ion,€2.79,3.6,Out of stock,303.921568627451,Buy 200 times for,€2.41,262.52723311546845
**,INR18650M26,2500.0,"2,500.00",17.5,0.12,Li-ion,€1.25,3.6,Out of stock,138.88888888888889,,£10000,1111111.1111111112
Molicel,INR-18650-P28A,2800.0,"2,800.00",104.86,0.13439999999999902,Li-ion,€7.49,3.6,Out of stock,743.0555555555558,,£10000,992063.4920634923
BAK,N18650CP,3250.0,"3,250.00",45.5,0.156,Li-ion,€3.25,3.6,Out of stock,277.7777777777778,Buy 200 times for,€2.69,229.91452991452994
Samsung,INR18650-30Q,2950.0,"2,950.00",53.06,0.1416,Li-ion,€3.79,3.6,In stock,356.8738229755179,Buy 200 times for,€3.19,300.37664783427493
Molicel,INR-18650-M35A,3350.0,"3,350.00",48.300000000000004,0.1608,Li-ion,€3.45,3.6,In stock,286.06965174129357,Buy 600 times for,€2.70,223.88059701492543
Sony,US18650VTC5A,2500.0,"2,500.00",59.5,0.12,Li-ion,€4.25,3.6,In stock,472.22222222222223,Buy 600 times for,€3.65,405.5555555555556
BAK,N18650CNP,2400.0,"2,400.00",40.46,0.11519999999999901,Li-ion,€2.89,3.6,Out of stock,334.49074074074076,Buy 600 times for,€2.40,277.77777777777777
Sinowatt,SW18650-34MP,3250.0,"3,250.00",34.86,0.156,Li-ion,€2.49,3.6,Out of stock,212.82051282051287,,£10000,854700.8547008549
EVE,INR18650-29V,2850.0,"2,850.00",36.26,0.1368,Li-ion,€2.59,3.6,Out of stock,252.43664717348926,Buy 600 times for,€1.91,186.1598440545809
EVE,INR18650-33V,3100.0,"3,100.00",38.5,0.14880000000000002,Li-ion,€2.75,3.6,In stock,246.41577060931897,Buy 600 times for,€2.14,191.75627240143368
Molicel,INR-18650-P26A,2600.0,"2,600.00",83.3,0.12480000000000001,Li-ion,€5.95,3.6,Out of stock,635.6837606837607,,£10000,1068376.0683760685
Samsung,INR18650-30Q,2950.0,"2,950.00",41.86,0.1416,Li-ion,€2.99,3.6,In stock,281.5442561205273,Buy 100 times for,€2.65,249.52919020715632
Xtar,18650,3300.0,10.00,111.3,0.158399999999999,Li-ion,€7.95,3.6,In stock,669.1919191919192,,£10000,841750.8417508417
Sanyo,NCR18650GA,3350.0,"3,350.00",59.5,0.1608,Li-ion,€4.25,3.6,Out of stock,352.4046434494196,,£10000,829187.3963515755
Sony / Murata,US18650VTC5C,2500.0,"2,500.00",49.699999999999996,0.12,Li-ion,€3.55,3.6,Expected shipping date: 31 oktober 2023 (in 20 days),394.4444444444444,Buy 600 times for,€3.15,350.0
Nitecore,IMR18650,3050.0,"3,050.00",234.5,0.146399999999999,Li-ion,€16.75,3.6,In stock,1525.5009107468125,,£10000,910746.8123861566
Everactive,3200 series,3050.0,"3,050.00",125.29999999999998,0.146399999999999,Li-ion,€8.95,3.6,In stock,815.11839708561,,£10000,910746.8123861566
Tenpower,ICR18650,1950.0,"1,950.00",27.3,0.093599999999999,Li-ion,€1.95,3.6,Out of stock,277.77777777777777,,£10000,1424501.4245014244
Olight,ORB-186S35,3450.0,"3,450.00",335.3,0.16560000000000002,Li-ion,€23.95,3.6,In stock,1928.3413848631242,,£10000,805152.9790660226
**,INR18650M29,2750.0,"2,750.00",37.1,0.132,Li-ion,€2.65,3.6,In stock,267.67676767676767,Buy 600 times for,€1.85,186.86868686868686
Xtar,18650,3450.0,10.00,195.29999999999998,0.16560000000000002,Li-ion,€13.95,3.6,In stock,1123.1884057971015,,£10000,805152.9790660226
Xtar,18650,2550.0,5.20,97.3,0.12240000000000001,Li-ion,€6.95,3.6,In stock,757.0806100217865,,£10000,1089324.6187363835
Sanyo,NCR18650GA,3350.0,"3,350.00",83.3,0.1608,Li-ion,€5.95,3.6,Out of stock,493.36650082918743,,£10000,829187.3963515755
Xtar,18650,2180.0,5.00,62.300000000000004,0.10464000000000001,Li-ion,€4.45,3.6,In stock,567.0234454638125,,£10000,1274209.9898063203
BAK,N18650CL-29,2800.0,"2,800.00",37.1,0.13439999999999902,Li-ion,€2.65,3.6,In stock,262.8968253968255,Buy 200 times for,€1.92,190.4761904761905
